순서,투자연도,투자일자,투자금액,투자종류,업종코드,업종분류,소재지,기업구분
153,2017,2017-11-22,1499940000,우선주,C29223,금속 절삭기계 제조업,경남 함안군,중기업
154,2017,2017-11-24,499950000,우선주,C26299,그 외 기타 전자부품 제조업,충남 천안시,소기업
155,2017,2017-11-29,1000000000,전환사채,C30320,자동차 차체용 신품 부품 제조업,경기 안양시,중기업
156,2017,2017-11-29,1000000000,우선주,C26299,그 외 기타 전자부품 제조업,경기 화성시,소기업
157,2017,2017-11-29,200000000,우선주,C26299,그 외 기타 전자부품 제조업,경기 안산시,소기업
158,2017,2017-12-01,200000000,우선주,C27301,광학렌즈 및 광학요소 제조업,인천 계양구,소기업
159,2017,2017-12-14,300000000,우선주,J58222,응용 소프트웨어 개발 및 공급업,서울 서초구,소기업
160,2017,2017-12-14,499970000,우선주,C29272,디스플레이 제조용 기계 제조업,경기 화성시,소기업
161,2017,2017-12-22,299997000,우선주,C28429,기타 조명장치 제조업,부산 기장군,소기업
162,2017,2017-12-21,200000000,우선주,C29133,"탭, 밸브 및 유사장치 제조업",부산 기장군,소기업
163,2017,2017-12-21,1000000000,우선주,G46521,가전제품 및 부품 도매업,서울 서초구,소기업
164,2017,2017-12-26,470000000,우선주,G47912,전자상거래 소매업,경기 안산시,소기업
165,2018,2018-01-10,999900000,우선주,C26224,전자부품 실장기판 제조업,경기 화성시,소기업
166,2018,2018-01-10,999985000,우선주,C27192,정형외과용 및 신체보정용 기기 제조업,경기 양주시,소기업
167,2018,2018-01-26,999810000,우선주,J58221,시스템 소프트웨어 개발 및 공급업,서울 강남구,중기업
168,2018,2018-04-09,1000000000,우선주,N75991,콜센터 및 텔레마케팅 서비스업,서울 성동구,소기업
169,2018,2018-04-10,999997500,우선주,C21300,의료용품 및 기타 의약 관련제품 제조업,경기 용인시,소기업
170,2018,2018-04-13,999950000,우선주,J58222,응용 소프트웨어 개발 및 공급업,서울 금천구,소기업
171,2018,2018-04-17,300000000,우선주,C17902,위생용 종이제품 제조업,충북 청주시,소기업
172,2018,2018-05-11,1300000000,우선주,J58222,응용 소프트웨어 개발 및 공급업,서울 금천구,소기업
