업체명,법인기업여부,최종업종코드,최종업종명,보증취급일자,취급종류,자금용도,보증상대처,보증금액범위
농****,여,C10301,김치류 제조업,2020-09-21,대출보증,운전자금,기업은행,1억미만
탑****,여,G46313,육류 도매업,2020-05-12,대출보증,운전자금,기업은행,1억미만
우****,여,G46313,육류 도매업,2020-05-06,대출보증,운전자금,기업은행,1억이상 3억미만
다****,여,C27199,그 외 기타 의료용 기기 제조업,2020-05-07,대출보증,운전자금,기업은행,1억이상 3억미만
동****,부,Q86201,일반 의원,2020-04-13,대출보증,운전자금,기업은행,1억이상 3억미만
티****,여,C31114,선박 구성 부분품 제조업,2020-08-25,대출보증,운전자금,기업은행,5억이상
카****,여,S95211,자동차 종합 수리업,2020-06-19,대출보증,운전자금,기업은행,1억이상 3억미만
아****,여,G47711,운송장비용 주유소 운영업,2020-06-16,대출보증,운전자금,기업은행,1억미만
림****,여,C29241,건설 및 채광용 기계장비 제조업,2020-07-30,대출보증,운전자금,기업은행,3억이상 5억미만
인****,여,G46733,플라스틱물질 및 합성고무 도매업,2020-11-27,대출보증,운전자금,신한은행,1억이상 3억미만
다****,여,H52992,"화물운송 중개, 대리 및 관련 서비스업",2020-06-16,대출보증,운전자금,기업은행,1억이상 3억미만
세****,부,C22211,"플라스틱 선, 봉, 관 및 호스 제조업",2020-09-21,대출보증,운전자금,신한은행,1억미만
용****,여,G46322,수산물 가공식품 도매업,2020-12-15,대출보증,운전자금,기업은행,1억이상 3억미만
쌍****,부,G46329,기타 가공식품 도매업,2020-05-13,대출보증,운전자금,기업은행,1억이상 3억미만
아****,여,G46315,"신선, 냉동 및 기타 수산물 도매업",2020-03-05,대출보증,운전자금,기업은행,1억이상 3억미만
와****,여,C25999,그 외 기타 분류 안된 금속 가공 제품 제조업,2020-11-19,대출보증,운전자금,기업은행,1억이상 3억미만
현****,부,G46791,재생용 재료 수집 및 판매업,2020-07-29,대출보증,운전자금,기업은행,1억이상 3억미만
콘****,여,C29299,그 외 기타 특수목적용 기계 제조업,2020-12-10,대출보증,운전자금,기업은행,5억이상
제****,여,G46464,운동 및 경기용품 도매업,2020-08-27,대출보증,운전자금,기업은행,5억이상
삼****,여,G46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",2020-06-16,대출보증,운전자금,기업은행,1억이상 3억미만
굿****,여,G47912,전자상거래 소매업,2020-10-08,대출보증,운전자금,기업은행,1억이상 3억미만
대****,부,G47711,운송장비용 주유소 운영업,2020-04-09,대출보증,운전자금,신한은행,1억미만
시****,여,G46493,"안경, 사진장비 및 광학용품 도매업",2020-03-31,대출보증,운전자금,기업은행,5억이상
고****,여,G46313,육류 도매업,2020-05-27,대출보증,운전자금,기업은행,1억이상 3억미만
풍****,여,G46452,"문구용품, 회화용품, 사무용품 도매업",2020-09-04,대출보증,운전자금,대구은행,3억이상 5억미만
아****,여,G46464,운동 및 경기용품 도매업,2020-07-07,대출보증,운전자금,기업은행,1억이상 3억미만
이****,여,C26429,기타 무선 통신장비 제조업,2020-12-03,대출보증,운전자금,신한은행,1억이상 3억미만
올****,여,R90199,그 외 기타 창작 및 예술관련 서비스업,2020-03-13,대출보증,운전자금,기업은행,1억이상 3억미만
대****,부,C30399,그 외 자동차용 신품 부품 제조업,2020-08-05,대출보증,운전자금,기업은행,1억이상 3억미만
대****,여,G46332,비알코올음료 도매업,2020-09-11,대출보증,운전자금,신한은행,1억미만
아****,여,C22213,플라스틱 시트 및 판 제조업,2020-07-01,대출보증,운전자금,대구은행,5억이상
배****,여,G46699,그 외 기타 건축자재 도매업,2020-04-22,대출보증,운전자금,기업은행,5억이상
토****,부,G47711,운송장비용 주유소 운영업,2020-08-25,대출보증,운전자금,기업은행,1억이상 3억미만
홍****,여,C10611,곡물 도정업,2020-11-25,대출보증,운전자금,기업은행,1억이상 3억미만
해****,여,G46712,액체연료 및 관련제품 도매업,2020-11-13,대출보증,운전자금,신한은행,1억이상 3억미만
태****,부,G46209,기타 산업용 농산물 도매업,2020-03-27,대출보증,운전자금,기업은행,1억이상 3억미만
파****,여,G46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",2020-12-02,대출보증,운전자금,기업은행,3억이상 5억미만
엔****,여,M73301,인물사진 및 행사용 영상 촬영업,2020-11-06,대출보증,운전자금,기업은행,1억미만
크****,여,G46329,기타 가공식품 도매업,2020-06-15,대출보증,운전자금,신한은행,5억이상
청****,여,G46329,기타 가공식품 도매업,2020-08-27,대출보증,운전자금,기업은행,1억이상 3억미만
오****,여,P85503,온라인 교육 학원,2020-10-06,대출보증,운전자금,기업은행,1억이상 3억미만
이****,여,C27219,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",2020-04-29,대출보증,운전자금,신한은행,3억이상 5억미만
대****,여,C30399,그 외 자동차용 신품 부품 제조업,2020-09-09,대출보증,운전자금,기업은행,5억이상
한****,여,C22213,플라스틱 시트 및 판 제조업,2020-03-26,대출보증,운전자금,기업은행,1억이상 3억미만
지****,여,G46313,육류 도매업,2020-09-03,대출보증,운전자금,기업은행,1억이상 3억미만
해****,여,F42132,콘크리트 및 철근 공사업,2020-06-11,대출보증,운전자금,기업은행,1억미만
경****,여,F42202,건물용 기계ㆍ장비 설치 공사업,2020-07-30,대출보증,운전자금,기업은행,5억이상
엠****,여,C26310,컴퓨터 제조업,2020-06-08,대출보증,운전자금,기업은행,1억이상 3억미만
댕****,여,G46532,건설ㆍ광업용 기계 및 장비 도매업,2020-11-26,대출보증,운전자금,기업은행,1억이상 3억미만
광****,여,G46493,"안경, 사진장비 및 광학용품 도매업",2020-10-26,대출보증,운전자금,기업은행,1억이상 3억미만
보****,여,C30203,트레일러 및 세미트레일러 제조업,2020-06-26,대출보증,운전자금,기업은행,3억이상 5억미만
뉴****,여,G46313,육류 도매업,2020-12-09,대출보증,운전자금,기업은행,1억이상 3억미만
제****,여,G47912,전자상거래 소매업,2020-09-10,대출보증,운전자금,기업은행,1억이상 3억미만
J****,부,G46329,기타 가공식품 도매업,2020-04-03,대출보증,운전자금,기업은행,1억미만
에****,여,G46521,가전제품 및 부품 도매업,2020-04-29,대출보증,운전자금,기업은행,5억이상
고****,여,F42121,토공사업,2020-03-18,대출보증,운전자금,기업은행,1억이상 3억미만
대****,여,F42121,토공사업,2020-09-01,대출보증,운전자금,기업은행,5억이상
성****,부,G46444,비누 및 세정제 도매업,2020-03-30,대출보증,운전자금,기업은행,1억이상 3억미만
동****,여,C26410,유선 통신장비 제조업,2020-09-07,대출보증,운전자금,기업은행,3억이상 5억미만
세****,여,G46321,육류 가공식품 도매업,2020-04-24,대출보증,운전자금,기업은행,1억이상 3억미만
한****,여,F42321,일반 통신 공사업,2020-11-30,대출보증,운전자금,기업은행,1억이상 3억미만
새****,부,Q86102,일반 병원,2020-03-31,대출보증,운전자금,기업은행,1억이상 3억미만
이****,여,N75992,"전시, 컨벤션 및 행사 대행업",2020-05-14,대출보증,운전자금,기업은행,1억미만
한****,부,G46621,배관 및 냉ㆍ난방장치 도매업,2020-03-20,대출보증,운전자금,기업은행,1억미만
케****,여,G46595,전기용 기계ㆍ장비 및 관련 기자재 도매업,2020-04-09,대출보증,운전자금,기업은행,1억이상 3억미만
범****,여,E38120,"지정 폐기물 수집, 운반업",2020-05-14,대출보증,운전자금,신한은행,1억이상 3억미만
